food_id,printed_id,food_group_code,food_group,origin,food_and_description,alternate_name,pdf_page,row_status,DEN,ENERC,WATER,PROCNT,FAT,CHOAVLDF,FIBTG,ASH,CA,P,NA,K,FE,CU,ZN,RETOL,CARTB,VITA_RAE,THIA,RIBF,NIA,VITC
AAA19,AAA19,A,Cereals and Products,THA53,"Bread, wholewheat",ขนมปังโฮลวีท(TH),34,primary,-,273,33.5,11.9,5.4,41.3,5.9,2.0,83,-,415,137,1.9,-,-,0,0,0,0.21,0.23,2.60,-
AAA29,AAA29,A,Cereals and Products,"THA17, PHA103",Corn flakes,แผ่นข้าวโพดอบกรอบ(TH),34,primary,-,373,2.6,7.3,0.5,83.1,3.4,3.1,42,46,833,-,9.3,-,-,0,0,0,1.86,7.88,21.30,183
AAA29,AAA29,A,Cereals and Products,"THA17, PHA103",Corn flakes,แผ่นข้าวโพดอบกรอบ(TH),34,duplicate_printing,-,373,2.6,7.3,0.5,83.1,3.4,3.1,42,46,833,-,9.3,-,-,0,0,0,1.86,7.88,21.30,183
AAA22,AAA22,A,Cereals and Products,THA18,"Corn flakes, sugar coated","แผ่นข้าวโพดอบกรอบ, เคลือบนํ้าตาล(TH)",34,primary,-,379,2.5,4.0,0.4,89.1,1.6,2.4,-,-,495,-,-,-,-,-,-,-,-,-,-,-
AAA22,AAA22,A,Cereals and Products,THA18,"Corn flakes, sugar coated","แผ่นข้าวโพดอบกรอบ, เคลือบนํ้าตาล(TH)",34,duplicate_printing,-,379,2.5,4.0,0.4,89.1,1.6,2.4,-,-,495,-,-,-,-,-,-,-,-,-,-,-
AAA38,AAA38,A,Cereals and Products,THA15,"Corn, whole-kernel, raw","ข้าวโพด, ฝัก, ดิบ(TH)",34,primary,,(111),73.4,3.4,1.4,(21.1),-,0.7,10,11,,,1.7,-,-,0,-,-,0.10,0.18,1.10,13
AAA37,AAA37,A,Cereals and Products,"PHA005, THA16","Corn, yellow, on the cob, boiled","Mais sa busal, dilaw, nilaga(PH),  ข้าวโพด, เหลือง, ฝัก, ต้ม(TH)",34,primary,-,142,66.9,3.8,4.3,19.4,5.0,0.6,11,70,-,-,2.4,-,-,0,299,25,0.09,0.08,1.20,3
AAA42,AAA42,A,Cereals and Products,"MYA58,PHA152","Macaroni, dried",Makaroni(MY),34,primary,-,344,11.9,12.1,0.6,70.0,4.9,0.5,26,125,5,41,2.2,-,-,22,0,22,0.29,0.13,2.20,0
AAA47,AAA47,A,Cereals and Products,"MYA28,PHA136","Noodle, rice, dried","Mee-hoon(MY), Fideos(PH)",34,primary,-,(353),11.3,10.5,0.0,(77.7),-,0.5,13,66,7,16,1.3,-,-,0,0,0,0.16,0.06,1.40,0
AAA48,AAA48,A,Cereals and Products,THA8,"Noodle, rice, fermented, fresh",ขนมจีน(TH),34,primary,-,(106),73.8,1.4,0.3,(24.3),-,0.2,14,10,47,10,-,-,-,0,0,0,0.60,-,-,-
