district,district_name,nutrient,unit,total,aquatic,nonaquatic,dri,pct_dri_total,pct_dri_aquatic
1,Halmahera Barat,calcium,mg,440.31,38.78,401.53,1100,40.03,3.53
1,Halmahera Barat,copper,mg,12.76,0.16,12.59,0.896666666666667,1422.62,18.39
1,Halmahera Barat,dha_epa,g,0.49,0.49,0,250,196.34,195.88
1,Halmahera Barat,iron,mg,11.83,1.54,10.29,17,69.61,9.09
1,Halmahera Barat,niacin,mg,27.91,9.67,18.24,14,199.32,69.05
1,Halmahera Barat,phosphorus,mg,900.88,217.06,683.82,883.333333333333,101.99,24.57
1,Halmahera Barat,potassium,mg,1588.91,335.15,1253.76,2500,63.56,13.41
1,Halmahera Barat,protein,g,54.3,18.89,35.42,46,118.05,41.06
1,Halmahera Barat,riboflavin,mg,0.92,0.12,0.8,1.06666666666667,85.91,10.81
1,Halmahera Barat,thiamin,mg,1.86,0.1,1.76,1.06666666666667,174.16,9.01
1,Halmahera Barat,zinc,mg,6.87,1.52,5.35,8.33333333333333,82.42,18.2
2,Halmahera Tengah,calcium,mg,428.52,43.1,385.42,1100,38.96,3.92
2,Halmahera Tengah,copper,mg,17.36,0.18,17.19,0.896666666666667,1936.51,19.53
2,Halmahera Tengah,dha_epa,g,0.56,0.56,0,250,223.83,223.26
2,Halmahera Tengah,iron,mg,11,1.75,9.25,17,64.71,10.27
2,Halmahera Tengah,niacin,mg,21.69,11.86,9.83,14,154.96,84.74
2,Halmahera Tengah,phosphorus,mg,863.67,256.31,607.36,883.333333333333,97.77,29.02
2,Halmahera Tengah,potassium,mg,1354.69,373.58,981.11,2500,54.19,14.94
2,Halmahera Tengah,protein,g,53.72,22.55,31.16,46,116.77,49.03
2,Halmahera Tengah,riboflavin,mg,1.18,0.14,1.04,1.06666666666667,110.23,12.83
2,Halmahera Tengah,thiamin,mg,1.71,0.12,1.59,1.06666666666667,159.91,11.15
2,Halmahera Tengah,zinc,mg,6.44,1.78,4.66,8.33333333333333,77.24,21.35
3,Kepulauan Sula,calcium,mg,374.51,45.01,329.5,1100,34.05,4.09
3,Kepulauan Sula,copper,mg,6.93,0.21,6.73,0.896666666666667,773.28,23.03
3,Kepulauan Sula,dha_epa,g,0.65,0.65,0,250,259.24,258.42
3,Kepulauan Sula,iron,mg,10.78,1.93,8.85,17,63.42,11.38
3,Kepulauan Sula,niacin,mg,37.88,12.24,25.64,14,270.57,87.46
3,Kepulauan Sula,phosphorus,mg,887.84,261.75,626.1,883.333333333333,100.51,29.63
3,Kepulauan Sula,potassium,mg,1222.38,368.57,853.8,2500,48.9,14.74
3,Kepulauan Sula,protein,g,54.92,23.24,31.68,46,119.39,50.52
3,Kepulauan Sula,riboflavin,mg,0.81,0.15,0.66,1.06666666666667,76.21,14.42
