coicop_code,susenas_code,susenas_item,food_group,energy,protein,fat,dha_epa,carbohydrate,fiber,ash,retinol,beta_carotene,thiamin,riboflavin,niacin,vitamin_c,calcium,copper,iron,phosphorus,potassium,sodium,zinc,bdd
,16,IKAN,IKAN,,,,,,,,,,,,,,,,,,,,,0
01.1.3.1.017,17,Ekor kuning,IKAN,100,19.5,1.5,0.263,0.1,0,1.5,7,0,0.11,70,8,0,51,0.071,0.5,290,510,48,1.39,53.05
01.1.3.1.069/72/13,18,"Tongkol, tuna, cakalang, dencis, ikan kayu",IKAN,122.217,19.26666666666667,1.5083333333333333,0.2859256666666667,0.11566666666666667,0,1.1966666666666668,25.733333333333334,0,0.0956,97.83333333333333,12.441666666666666,0.7466666666666667,19.296666666666667,0.08008333333333334,1.2289999999999999,261.6666666666667,399,55.36666666666667,1.6016666666666668,51.7067264573991
01.1.3.1.065,19,Tenggiri,IKAN,120,19.6,4.6,0.893715,0,0,1.5,12,0,0.08,90,12,0,18.35,0.0313,0.65,231.6,373.5,51.6,0.78,51.7067264573991
01.1.3.1.057,20,Selar,IKAN,124.5,19.23,4.66,1.02,0.1,0,1.42,7,0,0.13,160,7.8,0.5,37,0.105,1.1,249.93195,397.5813,66,1.29,51.7067264573991
01.1.3.1.028,21,"Kembung, lema/tatare, banyar/banyara",IKAN,83.42,19.85,2.4,20.1124,0.056,0,1.3,16.5,0,0.115,135,14.27,0.65,1170.89,0.194,3.665,86.91,1203.61,70.005,2.32,51.7067264573991
01.1.3.1.067,22,Teri,IKAN,87.41,2.367,2.055,0.9589,0.1985,0,1.31,24,0,0.04,150,11,0.5,715.48,1,2.8,312.035,2218,244,12.989,51.7067264573991
01.1.3.1.003,23,Bandeng,IKAN,104,2.067,10.7,0.39767,0.314,0,2,0,0,0.09,130,7.69,0,19,0.083,0.4,350,347,84,0.8825,61
01.1.3.1.018,24,Gabus,IKAN,86,13.9,5.7,0.49503,0.3,0,1.25,10,74,0.08,120,7.42,1,29,0.13,0.64,124,219.5,34.6,0.51,51.7067264573991
01.1.3.1.045,25,Mujair,IKAN,118,1.671,4.55,0.07946,0.2,0,1.2,2,0,0.51,130,6.77,0.5,19,0.023,0.5,350,347,60,0.75,37
01.1.3.1.041/46,26,"Mas, nila",IKAN,105,9.60225,3.4825,0.47,0.075,0,1.8849999999999998,5,0,0.12,95,5.95,0.5,28.4175,0.07289999999999999,0.91,227.465,342.58500000000004,60.625,1.43975,45.5
01.1.3.1.035,27,Lele,IKAN,103,15.8,3.24,0.41,0,0,1.085,8.5,26,0.07,70,6,0.3,26.5,0.1,1.2,190,297,82.5,0.86,53.05
01.1.3.1.023/24,28,Kakap,IKAN,106.98,11.0815,1.74,10.65744,0.045,0,1.38,9.5,0,0.11,130,8,1,721.1,0.0805,0.78,224.83,350,37,1.205,53.05
01.1.3.1.004,29,Baronang,IKAN,97,11.041,1.285,0.1055,0.2055,0,1.345,6,0,0.05,100,7.42,1,45.306,0.0665,0.912,174,381.6992,72.0778,1.07,51.7067264573991
01.1.3.1.051,30,Patin,IKAN,162,15.8,1.66,0.07,0,0,1,5,0,0.15,60,6,0.3,14,0.07,0.1,130,169,46,1.85,53.05
01.1.3.1.006,31,Bawal,IKAN,151.4,18.1,5.8,9.39,0,0,3.1,10,0,0.09,120,7.42,1,60.81,0.15,2.4,269.52,97.84,75.1,0.7,51.7067264573991
01.1.3.1.020,32,Gurame,IKAN,112.5,13.9,7.1,0.49503,0.15,0,1.2,109.5,74,0.055,150,7.42,1,71,0.085,0.65,124,219.5,69,0.68,51.7067264573991
01.1.3.1,33,Ikan segar/basah lainnya,IKAN,104,18.1,2.27,0.49503,0.1,0,1.3,10,0,0.09,120,7.42,1,37.89,0.08,1,225,370,75.1,1,51.7067264573991
01.1.3.2.004,34,"Udang, lobster",IKAN,87,19.8,0.9,0.17,0.4,0,1.8,7,7,0.04,70,7.3,0.9,74,0.67,1.2,229,297.5,268,2.01,56.99999999999999
