coicop_code,susenas_code,susenas_item,food_group,source,source_codes,energy,protein,fat,dha_epa,carbohydrate,fiber,ash,retinol,beta_carotene,thiamin,riboflavin,niacin,vitamin_c,calcium,copper,iron,phosphorus,potassium,sodium,zinc,bdd
,1,PADI-PADIAN,PADI-PADIAN,food_category,,,,,,,,,,,,,,,,,,,,,,0
01.1.1.1.001,2,"Beras (beras lokal, kualitas unggul, impor)",PADI-PADIAN,tkpi,AR001; AR002; AR003; AR004; AR009; AR010; AR011; AR012; AR013,359,7.933333333333334,1.8,0,77.25555555555556,3.566666666666667,0.9,0,0,0.27,0.07666666666666667,2.5444444444444443,0,48.111111111111114,0.18666666666666668,1.6888888888888889,158.22222222222223,99.21111111111112,25.22222222222222,0.9444444444444444,100
01.1.1.1.003,3,Beras ketan,PADI-PADIAN,tkpi,AR007; AR008,360.5,7.7,1.5499999999999998,0,76.45,0.7,1,0,0,0.26,0.05,1.7,0,11.5,0.28,4.8,252,285,7,2.2,100
01.1.1.1.006,4,Jagung basah degan kulit,PADI-PADIAN,tkpi,AR015,147,5.1,0.7,0,31.5,1.3,0.9,0,113,0.24,0.1,0.8,9,6,0.13,1.1,122,33.6,5,0.9,100
01.1.1.1.005/2,5,Jagung pipilan/beras jagung/jagung titi,PADI-PADIAN,tkpi,AP052; AR005; AR006; AR016; AR017; AR018,356.6666666666667,6.866666666666667,3.233333333333333,0,76.15,4.75,1.1166666666666667,0,571.4,0.15666666666666668,0.08600000000000001,1.14,1.2,15.833333333333334,1.5833333333333337,2.1666666666666665,250.33333333333337,77.84,1.8,3.979999999999999,100
01.1.1.5.005,6,Tepung terigu,PADI-PADIAN,tkpi,AP025,333,9,1,0,77.2,0.3,1,0,0,0.1,0.07,1,0,22,0,1.3,150,0,2,2.8,100
01.1.1,7,Padi-padian lainnya,PADI-PADIAN,tkpi,AR014; AR019; AR020; AR021,351,9.475,3.05,0,71.4,3.55,1.675,0,22,0.2675,0.2,2.45,0,149.5,0.4166666666666667,6.5,257,300.26666666666665,22.75,1.1666666666666667,97.5
,8,UMBI-UMBIAN,UMBI-UMBIAN,food_category,,,,,,,,,,,,,,,,,,,,,,0
01.1.7.8.001,9,Ketala pohon/singkong,UMBI-UMBIAN,tkpi,BR016,154,1,0.3,0,36.8,0.9,0.5,0,0,0.06,0.1,0.5,31,77,0.3,1.1,24,394,2,0.4,85
01.1.7.8.002,10,Ketela rambat/ubi jalar,UMBI-UMBIAN,tkpi,BR028; BR029; BR030; BR031; BR032; BR033,111.5,1.2166666666666668,0.3666666666666667,0,34.63333333333333,2.716666666666667,0.9,0,136.66666666666669,0.095,0.12833333333333333,0.5166666666666666,16,25.833333333333332,0.16666666666666666,0.9166666666666669,61.33333333333333,217.38333333333333,27,0.3333333333333333,85.5
01.1.1.5.007,11,Sagu (bukan dari ketela pohon),UMBI-UMBIAN,tkpi,BR018; BR019; BR021,311,0.7,0.5333333333333333,0,75.8,2.7333333333333334,0.33333333333333337,0,0,0.18,0.03333333333333334,0.16666666666666669,0,47,0.06666666666666667,0.8333333333333334,72.33333333333333,66.66666666666666,6.666666666666667,0.16666666666666666,100
