susenas_code,susenas_item,nutrient,value_before,value_after,method,source_table
2,"Beras (beras lokal, kualitas unggul, impor)",dha_epa,0,0,zero_by_biology,none
3,Beras ketan,dha_epa,0,0,zero_by_biology,none
4,Jagung basah degan kulit,dha_epa,0,0,zero_by_biology,none
5,Jagung pipilan/beras jagung/jagung titi,dha_epa,0,0,zero_by_biology,none
5,Jagung pipilan/beras jagung/jagung titi,retinol,,0,zero_by_biology,none
6,Tepung terigu,dha_epa,0,0,zero_by_biology,none
7,Padi-padian lainnya,dha_epa,0,0,zero_by_biology,none
9,Ketala pohon/singkong,dha_epa,0,0,zero_by_biology,none
10,Ketela rambat/ubi jalar,dha_epa,0,0,zero_by_biology,none
11,Sagu (bukan dari ketela pohon),dha_epa,0,0,zero_by_biology,none
12,Talas/keladi,dha_epa,0,0,zero_by_biology,none
13,Kentang,dha_epa,0,0,zero_by_biology,none
14,Gaplek,dha_epa,0,0,zero_by_biology,none
14,Gaplek,retinol,,0,zero_by_biology,none
15,Umbi-umbian lainnya,dha_epa,0,0,zero_by_biology,none
53,Daging sapi,dha_epa,0,0,zero_by_biology,none
54,"Daging kambing, domba/biri-biri",dha_epa,0,0,zero_by_biology,none
55,Daging babi,dha_epa,0,0,zero_by_biology,none
56,Daging ayam ras,dha_epa,0,0,zero_by_biology,none
57,Daging ayam kampung,dha_epa,0,0,zero_by_biology,none
58,Daging segar lainnya,dha_epa,0,0,zero_by_biology,none
59,Daging diawetkan lainnya,dha_epa,0,0,zero_by_biology,none
60,"Tetelan, sandung lamur",dha_epa,0,0,zero_by_biology,none
61,"Lainnya ( hati, jeroan, iga, kaki, buntut, kepala, dsb)",dha_epa,0,0,zero_by_biology,none
63,Telur ayam ras,dha_epa,0,0,zero_by_biology,none
64,Telur ayam kampung,dha_epa,0,0,zero_by_biology,none
64,Telur ayam kampung,vitamin_c,,0,borrowed,"USDA FoodData Central, SR Legacy"
65,Telur itik/telur itik manila,dha_epa,0,0,zero_by_biology,none
65,Telur itik/telur itik manila,vitamin_c,,0,borrowed,"USDA FoodData Central, SR Legacy"
66,"Telur lainnya (telur puyuh, telur asin mentah maupun matang, telur penyu, telur angsa, dsb)",dha_epa,0,0,zero_by_biology,none
67,Susu cair pabrik,dha_epa,0,0,zero_by_biology,none
