year,province,district,fish_group,species,sector,volume_ton,value_rp_million,price_rp_kg
2020,MALUKU UTARA,KOTA TERNATE,CAKALANG,CAKALANG,LAUT,24088.44,548067,22752
2020,MALUKU UTARA,PULAU MOROTAI,TUNA,TUNA SIRIP KUNING; MADIDIHANG,LAUT,11380.37,231545,20346
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,LAYANG,LAYANG BIRU,LAUT,8081.29,121430,15026
2020,MALUKU UTARA,HALMAHERA SELATAN,KAKAP,KAKAP MERAH,LAUT,7149.14,178728,25000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,CAKALANG,CAKALANG,LAUT,6916.88,139070,20106
2020,MALUKU UTARA,HALMAHERA BARAT,LAYANG,LAYANG BIRU,LAUT,6879.31,137586,20000
2020,MALUKU UTARA,HALMAHERA SELATAN,KACI-KACI,KAKAP PUTIH,LAUT,6843.84,171096,25000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,TUNA,TUNA SIRIP KUNING; MADIDIHANG,LAUT,6582.15,131679,20005
2020,MALUKU UTARA,HALMAHERA BARAT,KEMBUNG,KEMBUNG LELAKI,LAUT,6305.01,126100,20000
2020,MALUKU UTARA,KEPULAUAN SULA,CAKALANG,CAKALANG,LAUT,6111.57,122231,20000
2020,MALUKU UTARA,HALMAHERA TENGAH,LAYANG,LAYANG BIRU,LAUT,5804.69,116094,20000
2020,MALUKU UTARA,PULAU TALIABU,LAYANG,LAYANG BIRU,LAUT,5396.97,107939,20000
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,TONGKOL,TONGKOL KOMO,LAUT,5216.74,87528,16778
2020,MALUKU UTARA,KEPULAUAN SULA,TUNA,TUNA SIRIP KUNING; MADIDIHANG,LAUT,4966.56,99331,20000
2020,MALUKU UTARA,KOTA TERNATE,KERAPU,KERAPU MERAH BINTIK BIRU,LAUT,4501.63,157557,35000
2020,MALUKU UTARA,HALMAHERA SELATAN,LAYANG,LAYANG BIRU,LAUT,4329.3,76303,17625
2020,MALUKU UTARA,HALMAHERA TENGAH,KEMBUNG,KEMBUNG LELAKI,LAUT,4224.54,84491,20000
2020,MALUKU UTARA,HALMAHERA UTARA,CAKALANG,CAKALANG,LAUT,4082.52,98434,24111
2020,MALUKU UTARA,KOTA TIDORE KEPULAUAN,LAYANG,LAYANG ANGGUR,LAUT,3975.28,59629,15000
