district,n_households,total,aquatic,nonaquatic,pct_aquatic
1,513,30517.43235867446,2738.6627680311885,27778.769590643275,8.974093022779272
2,468,40569.89568376068,3424.1495726495723,37145.746111111104,8.440124173206073
3,541,34351.69155268022,3749.5951940850273,30602.0963585952,10.915314572893204
4,523,30994.86021032505,3810.956022944551,27183.90418738049,12.295445106331018
5,549,31881.51564663024,2961.346083788707,28920.169562841525,9.288598812590362
6,516,34026.10096899226,3104.748062015504,30921.352906976743,9.124607209168158
7,510,37803.23264705882,2547.6215686274504,35255.61107843138,6.7391632678949245
8,521,31339.782245681377,3939.9136276391555,27399.86861804223,12.571604986764308
71,557,43437.51723518851,2631.874326750449,40805.642908438065,6.058988851734789
72,582,35162.40793814432,2835.6958762886593,32326.712061855666,8.064566798943495
