district,district_name,area,n_households,total,aquatic,nonaquatic,pct_aquatic
1,Halmahera Barat,all,513,929.27,94.04,835.23,10.12
1,Halmahera Barat,urban,51,1079.59,113.69,965.9,10.53
1,Halmahera Barat,rural,462,915.68,92.26,823.42,10.08
2,Halmahera Tengah,all,468,796.6,111.84,684.76,14.04
2,Halmahera Tengah,urban,38,989.67,114.22,875.45,11.54
2,Halmahera Tengah,rural,430,784,111.68,672.32,14.24
3,Kepulauan Sula,all,541,789.5,116.51,672.99,14.76
3,Kepulauan Sula,urban,56,844.78,109.89,734.9,13.01
3,Kepulauan Sula,rural,485,777.24,117.99,659.25,15.18
4,Halmahera Selatan,all,523,822.65,116.1,706.55,14.11
4,Halmahera Selatan,urban,46,1000.91,149.6,851.31,14.95
4,Halmahera Selatan,rural,477,808.62,113.46,695.16,14.03
5,Halmahera Utara,all,549,767.37,91.1,676.27,11.87
5,Halmahera Utara,urban,141,895.07,91.8,803.27,10.26
5,Halmahera Utara,rural,408,729.24,90.89,638.35,12.46
6,Halmahera Timur,all,516,845.89,102.32,743.58,12.1
6,Halmahera Timur,urban,56,622.98,64.45,558.52,10.35
6,Halmahera Timur,rural,460,877.64,107.71,769.93,12.27
7,Pulau Morotai,all,510,871.3,81.54,789.76,9.36
7,Pulau Morotai,urban,45,719.47,115.79,603.68,16.09
7,Pulau Morotai,rural,465,896.13,75.94,820.19,8.47
8,Pulau Taliabu,all,521,903.82,126.5,777.32,14
8,Pulau Taliabu,rural,521,903.82,126.5,777.32,14
71,Kota Ternate,all,557,839.3,92.55,746.74,11.03
71,Kota Ternate,urban,464,850.69,92.45,758.24,10.87
71,Kota Ternate,rural,93,753.95,93.3,660.66,12.37
72,Kota Tidore Kepulauan,all,582,908.75,96.2,812.55,10.59
72,Kota Tidore Kepulauan,urban,259,899.62,93.36,806.26,10.38
72,Kota Tidore Kepulauan,rural,323,914.89,98.11,816.78,10.72
