district,urban1_rural2,n_households,total,aquatic,nonaquatic,area,pct_aquatic
1,1,51,11362.679629629629,910.6296296296296,10452.05,urban,8.014215478319455
1,2,462,7723.8379521176275,718.3905735318073,7005.44737858582,rural,9.300953463619052
2,1,38,17775.676046365916,951.7074561403508,16823.968590225562,urban,5.353987401986431
2,2,430,9966.628820448672,856.1053761871203,9110.523444261553,rural,8.589718666261925
3,1,56,11422.81456207483,1020.0805392028606,10402.73402287197,urban,8.930203091886437
3,2,485,8013.506918016691,918.6442996236294,7094.862618393062,rural,11.463698840244966
4,1,46,10362.932536231885,1092.6721014492753,9270.260434782609,urban,10.544043374102548
4,2,477,7126.416325882363,881.9612590414478,6244.455066840916,rural,12.375943513688096
5,1,141,11550.101259146684,727.6572385455364,10822.444020601148,urban,6.300007439062879
5,2,408,6672.881773758649,694.7676259606407,5978.114147798008,rural,10.41180781432154
6,1,56,6272.956760204082,544.672619047619,5728.284141156462,urban,8.682869018052962
6,2,460,9379.611860679779,835.5206090407179,8544.091251639062,rural,8.907837781041872
7,1,45,12587.178095238096,839.6710758377426,11747.507019400353,urban,6.670844485432376
7,2,465,9267.146637364427,643.0375256404288,8624.109111724,rural,6.938894471009563
8,2,521,8024.710819014106,1051.8775706059773,6972.833248408128,rural,13.10798101426424
71,1,464,14510.015030772629,638.424230995298,13871.590799777328,urban,4.399886765391608
71,2,93,7162.920908004779,752.2406554019457,6410.680252602833,rural,10.501870187639433
72,1,259,9982.471634185205,746.3667631917632,9236.104870993442,urban,7.476773193482593
72,2,323,9255.828621799597,757.9135805199272,8497.91504127967,rural,8.188500581513221
