district,district_name,nutrient,unit,total,aquatic,nonaquatic,dri,pct_dri_total,pct_dri_aquatic
1,Halmahera Barat,calcium,mg,470.33,78.05,392.28,1100,42.76,7.1
1,Halmahera Barat,copper,mg,12.58,0.07,12.51,0.896666666666667,1402.96,7.73
1,Halmahera Barat,dha_epa,g,1.02,1.02,0,250,407.98,407.55
1,Halmahera Barat,iron,mg,10.86,0.62,10.24,17,63.87,3.64
1,Halmahera Barat,niacin,mg,23.04,4.82,18.23,14,164.58,34.39
1,Halmahera Barat,phosphorus,mg,794.12,117.28,676.84,883.333333333333,89.9,13.28
1,Halmahera Barat,potassium,mg,1512.93,268.36,1244.57,2500,60.52,10.73
1,Halmahera Barat,protein,g,43.55,8.37,35.18,46,94.68,18.2
1,Halmahera Barat,riboflavin,mg,53.36,52.46,0.9,1.06666666666667,5002.56,4918.52
1,Halmahera Barat,thiamin,mg,1.8,0.05,1.75,1.06666666666667,169.05,4.6
1,Halmahera Barat,zinc,mg,6.31,0.98,5.33,8.33333333333333,75.74,11.73
2,Halmahera Tengah,calcium,mg,504.55,133.62,370.93,1100,45.87,12.15
2,Halmahera Tengah,copper,mg,17.06,0.07,16.99,0.896666666666667,1902.87,7.66
2,Halmahera Tengah,dha_epa,g,2.13,2.13,0,250,851.26,850.7
2,Halmahera Tengah,iron,mg,9.95,0.78,9.17,17,58.52,4.57
2,Halmahera Tengah,niacin,mg,15.77,5.96,9.81,14,112.63,42.58
2,Halmahera Tengah,phosphorus,mg,729.63,133.19,596.43,883.333333333333,82.6,15.08
2,Halmahera Tengah,potassium,mg,1277.24,312.15,965.09,2500,51.09,12.49
2,Halmahera Tengah,protein,g,41.17,10.4,30.78,46,89.51,22.6
2,Halmahera Tengah,riboflavin,mg,62.96,61.81,1.16,1.06666666666667,5902.62,5794.31
2,Halmahera Tengah,thiamin,mg,1.63,0.06,1.58,1.06666666666667,153.08,5.37
2,Halmahera Tengah,zinc,mg,5.61,0.98,4.62,8.33333333333333,67.29,11.8
3,Kepulauan Sula,calcium,mg,479.13,161.74,317.39,1100,43.56,14.7
3,Kepulauan Sula,copper,mg,6.55,0.08,6.47,0.896666666666667,730.13,8.68
3,Kepulauan Sula,dha_epa,g,2.55,2.55,0,250,1020.59,1019.79
3,Kepulauan Sula,iron,mg,9.6,0.83,8.77,17,56.45,4.87
3,Kepulauan Sula,niacin,mg,31.67,6.06,25.61,14,226.24,43.29
3,Kepulauan Sula,phosphorus,mg,750.84,133.96,616.88,883.333333333333,85,15.17
3,Kepulauan Sula,potassium,mg,1160.25,319.75,840.5,2500,46.41,12.79
3,Kepulauan Sula,protein,g,41.65,10.3,31.35,46,90.55,22.38
