fish_name,species_group,scientific_name_group,city,2020,habitat,method,food_prep,sciname,taxonomic_level,species,genus,family,order,class,phylum,kingdom,VitaminA,Thiamin,Riboflavin,Niacin,VitaminB6,Folate,VitaminB12,VitaminC,VitaminD,VitaminE,Calcium,Chromium,Copper,Iodine,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Protein,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Valine,ALA,DHAEPA
Ekor kuning,Fusilier,Caesio,Halmahera Barat,0.089,Marine,Capture,Raw,caesio cuning,,caesio cuning,caesio,caesionidae,eupercaria,actinopterygii,chordata,animalia,7,0.120645161290323,0.07,8.01333333333333,0.2,3,4.4,0,2,0.1,51,0,0.0688,27.8533333333333,0.5,36,0.01,290,510,60.0512278481013,48,1.39833333333333,20.2,1389.83306095238,1946.872204,506.032877547619,731.365455095238,815.941941473684,172.076454545455,969.389430047619,0.009,0.263
Ekor kuning,Fusilier,Caesio,Halmahera Tengah,0.129,Marine,Capture,Raw,caesio cuning,,caesio cuning,caesio,caesionidae,eupercaria,actinopterygii,chordata,animalia,7,0.120645161290323,0.07,8.01333333333333,0.2,3,4.4,0,2,0.1,51,0,0.0688,27.8533333333333,0.5,36,0.01,290,510,60.0512278481013,48,1.39833333333333,20.2,1389.83306095238,1946.872204,506.032877547619,731.365455095238,815.941941473684,172.076454545455,969.389430047619,0.009,0.263
Ekor kuning,Fusilier,Caesio,Kepulauan Sula,0.053,Marine,Capture,Raw,caesio cuning,,caesio cuning,caesio,caesionidae,eupercaria,actinopterygii,chordata,animalia,7,0.120645161290323,0.07,8.01333333333333,0.2,3,4.4,0,2,0.1,51,0,0.0688,27.8533333333333,0.5,36,0.01,290,510,60.0512278481013,48,1.39833333333333,20.2,1389.83306095238,1946.872204,506.032877547619,731.365455095238,815.941941473684,172.076454545455,969.389430047619,0.009,0.263
Ekor kuning,Fusilier,Caesio,Halmahera Selatan,0.06,Marine,Capture,Raw,caesio cuning,,caesio cuning,caesio,caesionidae,eupercaria,actinopterygii,chordata,animalia,7,0.120645161290323,0.07,8.01333333333333,0.2,3,4.4,0,2,0.1,51,0,0.0688,27.8533333333333,0.5,36,0.01,290,510,60.0512278481013,48,1.39833333333333,20.2,1389.83306095238,1946.872204,506.032877547619,731.365455095238,815.941941473684,172.076454545455,969.389430047619,0.009,0.263
Ekor kuning,Fusilier,Caesio,Halmahera Utara,0.121,Marine,Capture,Raw,caesio cuning,,caesio cuning,caesio,caesionidae,eupercaria,actinopterygii,chordata,animalia,7,0.120645161290323,0.07,8.01333333333333,0.2,3,4.4,0,2,0.1,51,0,0.0688,27.8533333333333,0.5,36,0.01,290,510,60.0512278481013,48,1.39833333333333,20.2,1389.83306095238,1946.872204,506.032877547619,731.365455095238,815.941941473684,172.076454545455,969.389430047619,0.009,0.263
Ekor kuning,Fusilier,Caesio,Halmahera Timur,0.036,Marine,Capture,Raw,caesio cuning,,caesio cuning,caesio,caesionidae,eupercaria,actinopterygii,chordata,animalia,7,0.120645161290323,0.07,8.01333333333333,0.2,3,4.4,0,2,0.1,51,0,0.0688,27.8533333333333,0.5,36,0.01,290,510,60.0512278481013,48,1.39833333333333,20.2,1389.83306095238,1946.872204,506.032877547619,731.365455095238,815.941941473684,172.076454545455,969.389430047619,0.009,0.263
Ekor kuning,Fusilier,Caesio,Pulau Morotai,0.093,Marine,Capture,Raw,caesio cuning,,caesio cuning,caesio,caesionidae,eupercaria,actinopterygii,chordata,animalia,7,0.120645161290323,0.07,8.01333333333333,0.2,3,4.4,0,2,0.1,51,0,0.0688,27.8533333333333,0.5,36,0.01,290,510,60.0512278481013,48,1.39833333333333,20.2,1389.83306095238,1946.872204,506.032877547619,731.365455095238,815.941941473684,172.076454545455,969.389430047619,0.009,0.263
Ekor kuning,Fusilier,Caesio,Pulau Taliabu,0.07,Marine,Capture,Raw,caesio cuning,,caesio cuning,caesio,caesionidae,eupercaria,actinopterygii,chordata,animalia,7,0.120645161290323,0.07,8.01333333333333,0.2,3,4.4,0,2,0.1,51,0,0.0688,27.8533333333333,0.5,36,0.01,290,510,60.0512278481013,48,1.39833333333333,20.2,1389.83306095238,1946.872204,506.032877547619,731.365455095238,815.941941473684,172.076454545455,969.389430047619,0.009,0.263
Ekor kuning,Fusilier,Caesio,Kota Ternate,0.07,Marine,Capture,Raw,caesio cuning,,caesio cuning,caesio,caesionidae,eupercaria,actinopterygii,chordata,animalia,7,0.120645161290323,0.07,8.01333333333333,0.2,3,4.4,0,2,0.1,51,0,0.0688,27.8533333333333,0.5,36,0.01,290,510,60.0512278481013,48,1.39833333333333,20.2,1389.83306095238,1946.872204,506.032877547619,731.365455095238,815.941941473684,172.076454545455,969.389430047619,0.009,0.263
Ekor kuning,Fusilier,Caesio,Kota Tidore Kepulauan,0.067,Marine,Capture,Raw,caesio cuning,,caesio cuning,caesio,caesionidae,eupercaria,actinopterygii,chordata,animalia,7,0.120645161290323,0.07,8.01333333333333,0.2,3,4.4,0,2,0.1,51,0,0.0688,27.8533333333333,0.5,36,0.01,290,510,60.0512278481013,48,1.39833333333333,20.2,1389.83306095238,1946.872204,506.032877547619,731.365455095238,815.941941473684,172.076454545455,969.389430047619,0.009,0.263
