kode_susenas,ingredient,proportion_pct,source,source_code,note,energy,protein,fat,carbohydrate,fiber,ash,calcium,phosphorus,iron,sodium,potassium,copper,zinc,retinol,beta_carotene,thiamin,riboflavin,niacin,vitamin_c,dha_epa,bdd
130,Pure Brazilian ground coffee (Cafe Najjar),100,usda,2088673,"dry roasted grounds, matching the dry form recorded in SUSENAS; no FCD carries plain roasted-ground arabica or robusta, and Brazil grows both species like Indonesia. Label is per 5 g of powder (scaled x20, so rounding is coarse); potassium, phosphorus and vitamins are not declared and stay blank",500,20,20,60,40,,200,,7.2,100,,,,,,,,,,,100
134,"Salt, table, iodized",100,usda,746775,"proxy for Garam Cap Kapal; iodine 5,080 mcg/100 g = 50.8 ppm, inside the SNI 30-80 ppm KIO3 range; organics zero by composition",0,0,0,0,0,99,50,0,0,38700,2,0,0,0,0,0,0,0,0,,100
141,"MSG, monosodium glutamate (Smart & Final)",50,usda,2449440,label panel only; unreported micronutrients blank,0,0,0,0,0,,,,,12500,,,,,,,,,,,100
141,"MSG, umami seasoning (Ajinomoto USA)",50,usda,2032559,,0,0,0,0,0,,,,,12500,,,,,,,,,,,100
144,Bumbu soto daging (Bamboe Indonesia),20,usda,2032322,Indonesian bumbu sold in the US; shallot-garlic-turmeric-galangal spice mix,200,10,5,20,10,,0,,10.8,7300,,,,,,,,,,,100
144,Bumbu kare instant seasoning (Indofood),20,usda,2032236,coconut-milk curry seasoning paste,333.3,11.1,22.2,33.3,11.1,,0,,0,4444,,,,,,,,,,,100
144,Bumbu sambal goreng instant seasoning (Indofood),20,usda,2032401,chili-coconut seasoning paste,222.2,11.1,11.1,22.2,0,,0,,0,5333,,,,,,,,,,,100
144,Bumbu semur instant spices (Bamboe Indonesia),20,usda,2032198,sweet soy-nutmeg braise mix,235.3,5.9,5.9,41.2,5.9,,235.3,,4.24,6058.8,,,,,,,,,,,100
144,Bumbu rujak instant spices (Bamboe Indonesia),20,usda,2032292,turmeric-chili-coriander mix,260.9,8.7,13,26.1,17.4,,0,,3.13,4443.5,,,,,,,,,,,100
158,Ketoprak,50,tkpi,AP060,ketoprak and gado-gado averaged as representative; no source carries a pecel entry,,,,,,,,,,,,,,,,,,,,,
158,Gado-gado,50,tkpi,DP031,,,,,,,,,,,,,,,,,,,,,,
162,Lontong (rice cake),40.5,smiling,63,,,,,,,,,,,,,,,,,,,,,,
162,Santan (dengan air),18,tkpi,KP003,coconut soup base,,,,,,,,,,,,,,,,,,,,,
162,Telur ayam rebus (satu butir),10,tkpi,HR002,"one boiled egg, about 50 g edible, in a 500 g portion; no source carries a boiled-egg entry, so the fresh-egg values stand in (boiling changes them very little)",,,,,,,,,,,,,,,,,,,,,
162,"Labu siam, segar",7.2,tkpi,DR123,,,,,,,,,,,,,,,,,,,,,,
162,"Kacang panjang, segar",3.6,tkpi,DR097,,,,,,,,,,,,,,,,,,,,,,
162,"Nangka muda, segar",3.6,tkpi,DR130,,,,,,,,,,,,,,,,,,,,,,
162,Minyak kelapa sawit,2.25,tkpi,KR012,,,,,,,,,,,,,,,,,,,,,,
162,"Bawang merah, segar",2.25,tkpi,NR007,bumbu,,,,,,,,,,,,,,,,,,,,,
162,"Bawang putih, segar",0.9,tkpi,NR008,bumbu,,,,,,,,,,,,,,,,,,,,,
162,"Cabai merah, segar",0.9,tkpi,NR014,bumbu,,,,,,,,,,,,,,,,,,,,,
162,Kemiri,1.35,tkpi,NR019,bumbu,,,,,,,,,,,,,,,,,,,,,
162,"Kunyit, segar",0.27,tkpi,NR022,bumbu,,,,,,,,,,,,,,,,,,,,,
162,"Lengkuas, segar",0.27,tkpi,NR010,bumbu,,,,,,,,,,,,,,,,,,,,,
162,Garam (iodized salt),0.36,usda,746775,,0,0,0,0,0,99,50,0,0,38700,2,0,0,0,0,0,0,0,0,,100
