"coicop_code","susenas_code","susenas_item","food_group","food_name","habitat","method","food_prep","sciname","taxonomic_level","species","genus","family","order","class","phylum","kingdom"
"01.1.3.1.017","17","Ekor kuning","IKAN","Ekor kuning","Marine","Capture","Raw","caesio cuning","","caesio cuning","caesio","caesionidae","eupercaria","actinopterygii","chordata","animalia"
"01.1.3.1.069/72/13","18","Tongkol, tuna, cakalang, dencis, ikan kayu","IKAN","Cakalang, dencis","Marine","Capture","Raw","actinopterygii","class","","","","","actinopterygii","chordata","animalia"
"01.1.3.1.069/72/13","18","Tongkol, tuna, cakalang, dencis, ikan kayu","IKAN","Tongkol","Marine","Capture","Raw","euthynnus affinis","","euthynnus affinis","euthynnus","scombridae","scombriformes","actinopterygii","chordata","animalia"
"01.1.3.1.069/72/13","18","Tongkol, tuna, cakalang, dencis, ikan kayu","IKAN","Tuna","Marine","Capture","Raw","thunnus","genus","","thunnus","scombridae","scombriformes","actinopterygii","chordata","animalia"
"01.1.3.1.065","19","Tenggiri","IKAN","Tenggiri","Marine","Capture","Raw","scomberomorus","genus","","scomberomorus","scombridae","scombriformes","actinopterygii","chordata","animalia"
"01.1.3.1.057","20","Selar","IKAN","Selar","Marine","Capture","Raw","carangidae","family","","","carangidae","carangiformes","actinopterygii","chordata","animalia"
"01.1.3.1.028","21","Kembung, lema/tatare, banyar/banyara","IKAN","Kembung, lema/tatare, banyar/banyara","Marine","Capture","Raw","rastrelliger","genus","","rastrelliger","scombridae","scombriformes","actinopterygii","chordata","animalia"
"01.1.3.1.067","22","Teri","IKAN","Teri","Marine","Capture","Raw","stolephorus","genus","","stolephorus","engraulidae","clupeiformes","actinopterygii","chordata","animalia"
"01.1.3.1.003","23","Bandeng","IKAN","Bandeng","Inland","Aquaculture","Raw","chanos chanos","","chanos chanos","chanos","chanidae","gonorynchiformes","actinopterygii","chordata","animalia"
"01.1.3.1.018","24","Gabus","IKAN","Gabus","Inland","Aquaculture; capture","Raw","channa striata","","channa striata","channa","channidae","anabantiformes","actinopterygii","chordata","animalia"
"01.1.3.1.045","25","Mujair","IKAN","Mujair","Inland","Aquaculture","Raw","oreochromis mossambicus","","oreochromis mossambicus","oreochromis","cichlidae","cichliformes","actinopterygii","chordata","animalia"
"01.1.3.1.041/46","26","Mas, nila","IKAN","Mas","Inland","Aquaculture","Raw","cyprinus carpio","","cyprinus carpio","cyprinus","cyprinidae","cypriniformes","actinopterygii","chordata","animalia"
"01.1.3.1.041/46","26","Mas, nila","IKAN","Nila","Inland","Aquaculture","Raw","cichlidae","family","","","cichlidae","cichliformes","actinopterygii","chordata","animalia"
"01.1.3.1.035","27","Lele","IKAN","Lele","Inland","Aquaculture","Raw","siluriformes","order","","","","siluriformes","actinopterygii","chordata","animalia"
"01.1.3.1.023/24","28","Kakap","IKAN","Kakap","Marine","Capture","Raw","lutjanus","genus","","lutjanus","lutjanidae","eupercaria","actinopterygii","chordata","animalia"
"01.1.3.1.004","29","Baronang","IKAN","Baronang","Marine","Capture","Raw","siganus","genus","","siganus","siganidae","acanthuriformes","actinopterygii","chordata","animalia"
"01.1.3.1.051","30","Patin","IKAN","Patin","Inland","Aquaculture","Raw","pangasius hypophthalmus","","pangasius hypophthalmus","pangasius","pangasiidae","siluriformes","actinopterygii","chordata","animalia"
"01.1.3.1.006","31","Bawal","IKAN","Bawal","Inland","Aquaculture","Raw","colossoma macropomum","","colossoma macropomum","colossoma","serrasalmidae","characiformes","actinopterygii","chordata","animalia"
"01.1.3.1.020","32","Gurame","IKAN","Gurame","Inland","Aquaculture","Raw","osphronemus goramy","","osphronemus goramy","osphronemus","osphronemidae","anabantiformes","actinopterygii","chordata","animalia"
"01.1.3.1","33","Ikan segar/basah lainnya","IKAN","Belut","Inland","Aquaculture; capture","Raw","monopterus albus","","monopterus albus","monopterus","synbranchidae","synbranchiformes","actinopterygii","chordata","animalia"
"01.1.3.1","33","Ikan segar/basah lainnya","IKAN","Ikan baung","Inland","Aquaculture; capture","Raw","siluriformes","order","","","","siluriformes","actinopterygii","chordata","animalia"
"01.1.3.1","33","Ikan segar/basah lainnya","IKAN","Ikan belanak","Marine","Capture","Raw","mugilidae","family","","","mugilidae","mugiliformes","actinopterygii","chordata","animalia"
"01.1.3.1","33","Ikan segar/basah lainnya","IKAN","Ikan layang","Marine","Capture","Raw","decapterus","genus","","decapterus","carangidae","carangiformes","actinopterygii","chordata","animalia"
"01.1.3.1","33","Ikan segar/basah lainnya","IKAN","Ikan wader/seluang","Inland","Aquaculture; capture","Raw","rasbora","genus","","rasbora","danionidae","cypriniformes","actinopterygii","chordata","animalia"
"01.1.3.2.004","34","Udang, lobster","IKAN","Udang, lobster","Inland; marine","Aquaculture; capture","Raw","decapoda","order","","","","decapoda","malacostraca","arthropoda","animalia"
"01.1.3.2.001/6","35","Cumi-cumi, sotong, gurita","IKAN","Cumi-cumi, sotong, gurita","Marine","Capture","Raw","cephalopoda","subclass","","","","","cephalopoda","mollusca","animalia"
"01.1.3.2.007/2/8","36","Ketam, kepiting, rajungan","IKAN","Ketam, kepiting, rajungan","Inland; marine","Aquaculture; capture","Raw","portunidae","family","","","portunidae","decapoda","malacostraca","arthropoda","animalia"
