"coicop_code","susenas_code","susenas_item","food_group","asean_code","asean_food_name","asean_source","asean_food_group"
"01.2.2.3-01225","178","Sari buah kemasan, minuman kesehatan, minuman berenergi","MAKANAN MINUMAN JADI","AAQ15","Juice, lychee, 25%, canned, per 100 ml","THQ24","Beverages, nonalcoholic"
"01.2.2.3-01225","178","Sari buah kemasan, minuman kesehatan, minuman berenergi","MAKANAN MINUMAN JADI","AAQ16","Drink, aloe vera flavour, canned, per 100 ml","THQ25","Beverages, nonalcoholic"
"01.2.2.3-01225","178","Sari buah kemasan, minuman kesehatan, minuman berenergi","MAKANAN MINUMAN JADI","AAQ33","Juice, passion fruit, 25%, per 100 ml","THQ31","Beverages, nonalcoholic"
"01.2.2.3-01225","178","Sari buah kemasan, minuman kesehatan, minuman berenergi","MAKANAN MINUMAN JADI","AAQ43","Juice, orange, 100%, per 100 ml","THQ27","Beverages, nonalcoholic"
"01.2.2.3-01225","178","Sari buah kemasan, minuman kesehatan, minuman berenergi","MAKANAN MINUMAN JADI","AAQ47","Drink, roselle, per 100 ml","THQ11","Beverages, nonalcoholic"
"11.1.1.1.052-57","179","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)","MAKANAN MINUMAN JADI","AAJ18","Milk, pasteurised, coffee flavour, per 100 ml","THJ38","Milk and products"
"11.1.1.1.052-57","179","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)","MAKANAN MINUMAN JADI","AAJ19","Milk, pasteurised, chocolate flavour, per 100 ml","THJ40","Milk and products"
"11.1.1.1.052-57","179","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)","MAKANAN MINUMAN JADI","AAJ33","Milk, UHT, chocolate flavour","PHQ004,MYJ522","Milk and products"
"11.1.1.1.052-57","179","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)","MAKANAN MINUMAN JADI","AAJ46","Milk, UHT, chocolate flavour, per 100 ml","THJ46","Milk and products"
"11.1.1.1.052-57","179","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)","MAKANAN MINUMAN JADI","AAQ55","Tea, w/ milk, per 100 ml","THQ8","Beverages, nonalcoholic"
"11.1.1.1.052-57","179","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)","MAKANAN MINUMAN JADI","AAQ9","Coffee, iced, per 100 ml","THQ3","Beverages, nonalcoholic"
