"coicop_code","susenas_code","susenas_item","food_group","tkpi_code","tkpi_food_name","tkpi_source","tkpi_category"
"","1","PADI-PADIAN","PADI-PADIAN","","","",""
"01.1.1.1.001","2","Beras (beras lokal, kualitas unggul, impor)","PADI-PADIAN","AR001","Beras giling, mentah","KZGMI-2001","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.001","2","Beras (beras lokal, kualitas unggul, impor)","PADI-PADIAN","AR002","Beras giling var pelita, mentah","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.001","2","Beras (beras lokal, kualitas unggul, impor)","PADI-PADIAN","AR003","Beras giling var rojolele, mentah","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.001","2","Beras (beras lokal, kualitas unggul, impor)","PADI-PADIAN","AR004","Beras hitam, mentah","KZGMI-2001","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.001","2","Beras (beras lokal, kualitas unggul, impor)","PADI-PADIAN","AR009","Beras ladang, mentah","KZGMI-2001","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.001","2","Beras (beras lokal, kualitas unggul, impor)","PADI-PADIAN","AR010","Beras menir, mentah","DABM-1964","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.001","2","Beras (beras lokal, kualitas unggul, impor)","PADI-PADIAN","AR011","Beras parboiled","DABM-1964","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.001","2","Beras (beras lokal, kualitas unggul, impor)","PADI-PADIAN","AR012","Beras tumbuk, mentah","KZGMI-2001","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.001","2","Beras (beras lokal, kualitas unggul, impor)","PADI-PADIAN","AR013","Beras tumbuk merah, mentah","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.003","3","Beras ketan","PADI-PADIAN","AR007","Beras ketan hitam tumbuk, mentah","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.003","3","Beras ketan","PADI-PADIAN","AR008","Beras ketan putih tumbuk, mentah","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.006","4","Jagung basah degan kulit","PADI-PADIAN","AR015","Jagung muda, kuning, mentah","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.005/2","5","Jagung pipilan/beras jagung/jagung titi","PADI-PADIAN","AP052","Jagung titi","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.005/2","5","Jagung pipilan/beras jagung/jagung titi","PADI-PADIAN","AR005","Beras jagung kuning, kering, mentah","KZGMI-2001","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.005/2","5","Jagung pipilan/beras jagung/jagung titi","PADI-PADIAN","AR006","Beras jagung putih, kering, mentah","KZGMI-2001","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.005/2","5","Jagung pipilan/beras jagung/jagung titi","PADI-PADIAN","AR016","Jagung kuning pipil, kering, mentah","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.005/2","5","Jagung pipilan/beras jagung/jagung titi","PADI-PADIAN","AR017","Jagung pipil var. harapan, kering","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.1.005/2","5","Jagung pipilan/beras jagung/jagung titi","PADI-PADIAN","AR018","Jagung pipil var. metro, kering","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
"01.1.1.5.005","6","Tepung terigu","PADI-PADIAN","AP025","Tepung terigu","KZGPI- 1990","SEREALIA DAN HASIL OLAHANNYA"
