smiling_row,food_grp,food_subgrp,brand_or_description,recipe,food_name_english,food_name_local,food_code,main_source_of_origin,edible,sum_of_proximates_g,water_g,enerc_kcal,enerct_kj,protcnt_g,fat_g,choavldf_g,fibtg_g,ash_g,ca_mg,fe_mg,zn_mg,retol_mcg,cartb_mcg,oth_car_mcg,va_rae_mcg_rae,thia_mg,ribf_mg,nia_mg,vit_b6_mg,folate_mg,vit_b12_mg,vit_c_mg,vit_d_mg
3,Added fats,Margarine (fortified),,,margarine,Margarin,IDK005,DABM-1964,100.0,100.0,15.5,733.0,3014.0,0.6,81.0,0.4,0.0,2.5,20.0,0.0,0.02,606.0,610.0,0.0,656.8333333333334,0.0,0.0,0.0,0.005,1.0,0.06,0.0,2.0
4,Added fats,Other added fats,,,coconut milk,Santan,IDC094,DABM-1964,100.0,100.0,54.9,347.9,1435.6999999999998,4.2,34.3,5.6,0.0,1.0,14.0,1.9,1.1,0.0,0.0,0.0,0.0,0.02,0.0,0.4,0.05,26.0,0.0,2.0,
5,Added fats,Other added fats,,,"fat, buffalo",Lemak kerbau (lemak sapi),IDK004,DABM-1964,100.0,100.0,5.0,816.0,3355.5,1.5,90.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,
6,Added fats,Other added fats,,,"oil, fish",Minyak Ikan,IDK008,DABM-1964,100.0,100.0,0.0,900.0,3700.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,24242.0,0.0,0.0,24242.0,0.0,0.16,4.1,0.0,0.0,0.0,0.0,
7,Added fats,Other added fats,,,"oil, palm",Minyak kelapa,IDK011,DABM-1964,100.0,100.0,0.0,886.0,3643.0,1.0,98.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
8,Added fats,Other added fats,,,"oil, peanut",Minyak kacang tanah,IDK009,DABM-1964,100.0,100.0,0.0,900.0,3700.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,Added fats,Other added fats,,,"oil, sesame",Minyak wijen,IDK013,FCTEA-1972,100.0,100.0,0.1,898.1,3692.3,0.2,99.7,0.0,0.0,0.0,10.0,0.1,0.2,0.0,0.0,0.0,0.0,0.01,0.07,0.1,0.0,0.0,0.0,0.0,
10,Added sugars,"Honey,syrup,nectar",,,honey,Madu,IDM010,DABM- 1964,100.0,100.0,20.0,319.2,1356.6,0.3,0.0,79.5,0.0,0.2,5.0,0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.024,2.0,0.0,4.0,
11,Bakery & breakfast cereals,"Sweetened bakery products, enriched",biscuits with milk,,biscuits (with milk),Biscuit marie susu,,Nutrisurvey,100.0,101.0,3.0,455.0,1917.0,6.0,13.0,78.0,1.0,0.0,31.0,1.0,4.0,50.0,0.0,50.0,52.083333333333336,0.0,0.0,1.0,0.0,14.0,0.0,1.0,
12,Bakery & breakfast cereals,"Sweetened bakery products, enriched",Biskuat*,,"biscuits, fortified",Biskuit bayi farley,,dkbm-1995,100.0,95.0,1.5,401.40000000000003,1694.7,13.4,9.0,66.7,0.0,4.4,392.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
